자치구,년도,차량합계,승용차비율,승합차비율,화물차비율,주차장합계,노상비율,노외비율,건축물비율
종로구,2017,50828,80.89045408042811,7.977886204454237,10.75981742346738,7220,2.0498614958448753,1.4265927977839334,96.5235457063712
중구,2017,51540,78.62436942180831,6.8063639891346535,14.152114862242918,4152,3.6368015414258186,2.2639691714836223,94.09922928709055
용산구,2017,77458,86.9309819515092,3.592914869994061,9.322471532959797,7291,4.965025373748457,1.0286654779865587,94.00630914826499
성동구,2017,103116,85.10997323402769,3.586252375964933,11.112727413786414,6658,3.9651547011114454,0.9762691498948632,95.0585761489937
광진구,2017,98631,84.10236132656061,4.226865792702092,11.404122436150905,16304,2.2019136408243374,0.429342492639843,97.36874386653582
동대문구,2017,97507,81.87822412749853,4.3576358620406745,13.582614581517225,9485,0.316288877174486,0.6009488666315235,99.08276225619399
중랑구,2017,113916,81.28445521261281,4.656940201552021,13.710980020365884,12170,4.313886606409203,0.66557107641742,95.02054231717338
성북구,2017,117209,85.34156933341296,4.901500737997935,9.65028282811047,13038,0.9587360024543641,1.1811627550237767,97.86010124252186
강북구,2017,77820,82.22436391673091,5.4844512978668725,12.099717296324853,10528,0.21846504559270516,0.5604103343465046,99.22112462006079
도봉구,2017,97323,84.3048405823906,4.242573697892584,11.237836893642818,9593,4.795163139789429,0.6358803294068592,94.56895653080372
노원구,2017,154708,86.87333557411382,4.066370194172246,8.860563125371668,6612,2.3290986085904417,0.6805807622504537,96.9903206291591
은평구,2017,129004,84.78186722892313,4.453350283712132,10.570214877058076,19119,0.5701134996600241,0.4288927245148805,99.0009937758251
서대문구,2017,86068,85.23028303202119,4.236185341822745,10.18264627968583,11835,5.289395859738065,0.8111533586818758,93.89945078158006
마포구,2017,116531,85.1944976014966,4.000652186971707,10.599754571744857,13905,0.20855807263574253,0.6256742179072277,99.16576770945703
양천구,2017,150823,85.26882504657777,3.744786935679571,10.63100455500819,11811,4.131741596816527,0.4741342816018965,95.39412412158158
강서구,2017,202063,85.09029362129633,3.9626255177840575,10.759020701464394,18630,3.7359098228663443,0.30059044551798175,95.96349973161567
구로구,2017,143960,82.7597943873298,4.727007502083913,12.306890803000833,10219,2.925922301595068,0.567570212349545,96.50650748605538
금천구,2017,86427,78.81680493364343,5.324724912353778,15.695326691890266,9393,0.35132545512615776,0.5642499733844352,99.08442457148941
영등포구,2017,146150,81.03044816968867,4.249743414300376,13.971946630174479,10018,21.73088440806548,0.6887602315831503,77.58035536035138
동작구,2017,104837,87.3804095882179,3.483502961740607,8.747865734425824,13313,0.5934049425373695,0.6234507624126793,98.78314429504995
관악구,2017,122103,84.96269542926873,4.2439579699106496,10.591058368754249,19504,0.14868744872846595,0.43580803937653817,99.415504511895
서초구,2017,181546,87.1145604970641,3.0427550042413496,9.657056613750784,13360,6.205089820359282,0.6736526946107785,93.12125748502994
강남구,2017,238311,89.78016121790434,2.8618066308311407,7.19647855113696,20348,0.3538431295459013,0.5700805976017299,99.07607627285236
송파구,2017,231819,85.2652284756642,3.312929483778292,11.285528796172876,18009,2.704203453828641,0.8329168748958855,96.46287967127547
강동구,2017,136558,84.40076743947627,3.793260006737064,11.58482110165644,15510,0.14184397163120568,0.20631850419084463,99.65183752417795
